"year","team","number","player","sets_played","matches_played","points","points_per_set","kills","kills_per_set","attack_errors","attack_attempts","hitting_efficiency","assists","assists_per_set","service_aces","service_aces_per_set","serive_errors","service_errors_per_set","digs","digs_per_set","blocks","blocks_per_set"
2024,"Atlanta",21,"Monserez, Marlie",74,23,70,0.95,51,0.69,6,138,32.6,784,10.6,6,0.08,10,231,3.12,13,0.18,11
2024,"Atlanta",22,"Pressley, Yossiana",18,12,24,1.33,21,1.17,10,68,16.2,1,0.06,0,0,3,22,1.22,3,0.17,0
2024,"Atlanta",23,"Evans, Kacie",21,11,2,0.1,0,0,0,1,0,1,0.05,2,0.1,5,9,0.43,0,0,0
2024,"Atlanta",24,"Pittman-Nelson, Regan",11,6,21,1.91,13,1.18,4,32,28.1,1,0.09,1,0.09,1,5,0.46,7,0.64,0
2024,"Columbus",1,"Jones, Rainelle",69,24,127,1.84,85,1.23,29,218,25.7,2,0.03,9,0.13,28,29,0.42,33,0.48,1
2024,"Columbus",2,"Santos, Raymariely",69,21,31,0.45,19,0.28,4,56,26.8,503,7.29,3,0.04,7,137,1.99,9,0.13,15
2024,"Columbus",3,"Leon, Valeria",87,24,0,0,0,0,0,0,0,65,0.75,0,0,0,270,3.1,0,0,5
2024,"Columbus",4,"Bartsch-Hackley, Michelle",31,15,23,0.74,20,0.65,10,69,14.5,5,0.16,1,0.03,3,21,0.68,2,0.07,0
2024,"Columbus",7,"O'Neal, Asjia",31,9,99,3.19,82,2.65,19,180,35,1,0.03,3,0.1,12,22,0.71,14,0.45,0
2024,"Columbus",8,"Cooper, Reagan",82,23,364,4.44,339,4.13,106,877,26.6,8,0.1,8,0.1,16,202,2.46,17,0.21,2
2024,"Columbus",9,"Drechsel, Samantha",43,14,101,2.35,87,2.02,60,288,9.4,4,0.09,4,0.09,12,93,2.16,10,0.23,2
2024,"Columbus",11,"Kipp, Kendall",34,10,170,5,145,4.26,58,416,20.9,4,0.12,8,0.23,20,78,2.29,17,0.5,0
2024,"Columbus",12,"Stringer, Tori",70,22,46,0.66,25,0.36,7,85,21.2,663,9.47,7,0.1,27,204,2.91,14,0.2,11
2024,"Columbus",13,"Kuszmaul, Ashley",25,9,22,0.88,13,0.52,12,68,1.5,1,0.04,1,0.04,6,32,1.28,8,0.32,0
2024,"Columbus",14,"Perović, Nikoleta",19,10,20,1.05,16,0.84,16,73,0,1,0.05,0,0,1,18,0.95,4,0.21,0
2024,"Columbus",15,"Ortiz DeJesus, Ivania",85,24,11,0.13,1,0.01,1,2,0,6,0.07,10,0.12,16,27,0.32,0,0,0
2024,"Columbus",16,"Rosenthal, Jenna",22,9,33,1.5,23,1.04,8,63,23.8,1,0.04,1,0.04,2,9,0.41,9,0.41,1
2024,"Columbus",17,"Lush, Megan",71,19,196,2.76,162,2.28,88,522,14.2,15,0.21,8,0.11,14,224,3.15,26,0.37,0
2024,"Columbus",18,"Moore, Jenaisya",40,20,65,1.63,54,1.35,37,197,8.6,3,0.07,2,0.05,6,84,2.1,9,0.23,2
2024,"Columbus",23,"Hord, Kaitlyn",72,22,157,2.18,111,1.54,18,280,33.2,3,0.04,4,0.06,19,54,0.75,42,0.58,0
2024,"Columbus",31,"Blossom, Gabby",21,8,2,0.1,1,0.05,2,6,-16.7,33,1.57,1,0.05,1,22,1.05,0,0,0
2024,"Grand Rapids",1,"Bolding, Sydney",2,1,1,0.5,1,0.5,1,2,0,0,0,0,0,0,1,0.5,0,0,0
2024,"Grand Rapids",4,"Fingall, Morgahn",22,11,53,2.41,47,2.14,19,140,20,2,0.09,1,0.04,7,33,1.5,5,0.23,0
2024,"Grand Rapids",5,"Pritchard, Erika",30,11,80,2.67,70,2.33,30,202,19.8,2,0.07,2,0.07,9,63,2.1,8,0.27,0
2024,"Grand Rapids",6,"Grant, Nia",12,6,22,1.83,21,1.75,8,44,29.5,0,0,0,0,4,6,0.5,1,0.08,0
2024,"Grand Rapids",8,"Grote, Marin",98,24,228,2.33,147,1.5,31,387,30,7,0.07,17,0.17,27,58,0.59,64,0.65,2
2024,"Grand Rapids",9,"Chaussee, Claire",96,24,429,4.47,395,4.12,151,1113,21.9,14,0.15,14,0.15,51,257,2.68,20,0.21,1
2024,"Grand Rapids",10,"Scully, Shannon",71,23,62,0.87,55,0.78,24,202,15.3,2,0.03,5,0.07,7,101,1.42,2,0.03,0
2024,"Grand Rapids",12,"Sponcil, Sarah",72,20,0,0,0,0,0,0,0,31,0.43,0,0,0,240,3.33,0,0,3
2024,"Grand Rapids",13,"Evans, Ashley",91,24,73,0.8,34,0.37,20,120,11.7,1000,10.99,13,0.14,24,238,2.62,26,0.29,12
2024,"Grand Rapids",14,"Dimitrova, Emiliya",87,22,413,4.75,371,4.26,137,974,24,18,0.21,12,0.14,30,252,2.9,30,0.34,0
2024,"Grand Rapids",15,"Podraza, Mac",30,17,17,0.57,6,0.2,0,14,42.9,147,4.9,0,0,5,49,1.63,11,0.37,4
2024,"Grand Rapids",17,"Jensen, Alyssa",31,13,47,1.52,25,0.81,15,67,14.9,0,0,3,0.1,19,11,0.35,19,0.61,0
2024,"Grand Rapids",27,"Abbott, Symone",55,17,147,2.67,131,2.38,62,398,17.3,7,0.13,5,0.09,27,123,2.24,11,0.2,2
2024,"Grand Rapids",28,"Caffey, Kayla",57,17,104,1.82,68,1.19,20,171,28.1,3,0.05,4,0.07,29,31,0.54,32,0.56,2
2024,"Grand Rapids",31,"Gómez, Camila",63,20,0,0,0,0,0,0,0,38,0.6,0,0,6,164,2.6,0,0,1
2024,"Grand Rapids",34,"Lohman, Molly",12,5,10,0.83,7,0.58,2,21,23.8,1,0.08,1,0.08,0,6,0.5,2,0.17,0
2024,"Omaha",1,"Valentin-Anderson, Natalia",55,19,34,0.62,20,0.36,4,49,32.7,472,8.58,7,0.13,10,158,2.87,7,0.13,14
2024,"Omaha",2,"Hilley, Sydney",64,17,43,0.67,26,0.41,4,85,25.9,592,9.25,8,0.13,11,189,2.95,9,0.14,12
2024,"Omaha",3,"White, Kendall",83,23,0,0,0,0,0,0,0,76,0.92,0,0,0,290,3.49,0,0,0
2024,"Omaha",5,"Nuneviller, Brooke",84,23,306,3.64,279,3.32,110,884,19.1,11,0.13,11,0.13,29,280,3.33,16,0.19,2
2024,"Omaha",6,"Dixon, Tori",87,24,204,2.34,134,1.54,41,367,25.3,14,0.16,8,0.09,14,53,0.61,62,0.71,1
2024,"Omaha",7,"Mancuso-Prososki, Gina",10,3,1,0.1,1,0.1,2,6,-16.7,0,0,0,0,1,2,0.2,0,0,0
2024,"Omaha",10,"Schaben-Lansman, Jess",59,18,190,3.22,152,2.58,64,504,17.5,2,0.03,8,0.14,23,145,2.46,30,0.51,1
2024,"Omaha",11,"Vuchkova, Hristina",82,21,199,2.43,126,1.54,42,310,27.1,5,0.06,3,0.04,22,53,0.65,70,0.85,1
